english;sentence;satz;german
human;Apes are quite similar to humans;Affen sind den Menschen sehr ähnlich;Mensch
mouth;Apes can't speak because of the shape of their mouth.;Affen können wegen der Form ihres Mundes nicht sprechen;Mund
meaning;What's the meaning of this word?;Was ist die Bedeutung dieses Wortes?;Bedeutung
scientist;You have to be very clever to be a scientist.;Man muss sehr klug sein, um Wissenschaftler zu sein;Wissenschaftler/-in
upset;Don't be upset, it's just a film;Sei nicht aufgeregt, es ist nur ein Film;aufgebracht
bored;We were all bored because it was raining;Wir waren alle gelangweilt, weil es regnete;gelangweilt
curious;Can i open my presents, please? I'm so curious!;Kann ich bitte meine Geschenke öffnen? Ich bin so neugierig!;neugierig
friendly;Their dog is really friendly and wants to play with everybody;Ihr Hund ist sehr freundlich und möchte mit jedem spielen;freundlich
nervous;Are you still nervous before a presentation?;Bist du vor einer Präsentation immer noch nervös?;nervös
shy;My little brother is quite shy;Mein kleiner Bruder ist ziemlich schüchtern;schüchtern
tired;They played until they were tired;Sie spielten, bis sie müde waren;müde
comment;Comment on what is happening in the film;Kommentiere, was im Film passiert;kommentieren
disappointed;Are you disappointed because they can't come?;Bist du enttäuscht, weil sie nicht kommen können?;enttäuscht
glad;I'm so glad that you're here;Ich bin so froh, dass du hier bist;froh
lazy;Tom is a very lazy boy;Tom ist ein sehr fauler Junge;faul
probably;This is probably my favourite book;Dies ist wahrscheinlich mein Lieblingsbuch;wahrscheinlich
scared;I was a bit scared when I saw the gorilla;Ich hatte ein bisschen Angst, als ich den Gorilla sah;verängstigt
serious;She was a serious child and didn't play much;Sie war ein ernsthaftes Kind und spielte nicht viel;ernst
